"No.","Time","Source","Destination","Protocol","Length","Info"
"274","28.239106480","127.0.0.1","127.0.0.1","TCP","70","60694  >  8080 [PSH, ACK] Seq=7 Ack=221 Win=65536 Len=4 TSval=2280384279 TSecr=2280383269 [TCP segment of a reassembled PDU]"
"276","28.239153973","127.0.0.1","127.0.0.1","TCP","83","60694  >  8080 [PSH, ACK] Seq=11 Ack=221 Win=65536 Len=17 TSval=2280384280 TSecr=2280384279"
"278","28.239173792","127.0.0.1","127.0.0.1","TCP","66","60694  >  8080 [FIN, ACK] Seq=28 Ack=221 Win=65536 Len=0 TSval=2280384280 TSecr=2280384280"
"280","28.239252361","127.0.0.1","127.0.0.1","TCP","66","60694  >  8080 [ACK] Seq=29 Ack=222 Win=65536 Len=0 TSval=2280384280 TSecr=2280384280"
"281","28.240703673","127.0.0.1","127.0.0.1","TCP","74","60696  >  8080 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM=1 TSval=2280384281 TSecr=0 WS=128"
"283","28.240714956","127.0.0.1","127.0.0.1","TCP","66","60696  >  8080 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2280384281 TSecr=2280384281"
"284","28.240743996","127.0.0.1","127.0.0.1","TCP","70","60696  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=4 TSval=2280384281 TSecr=2280384281"
"286","28.240752426","127.0.0.1","127.0.0.1","TCP","68","60696  >  8080 [PSH, ACK] Seq=5 Ack=1 Win=65536 Len=2 TSval=2280384281 TSecr=2280384281 [TCP segment of a reassembled PDU]"
"289","28.243073477","127.0.0.1","127.0.0.1","TCP","66","60696  >  8080 [ACK] Seq=7 Ack=14 Win=65536 Len=0 TSval=2280384283 TSecr=2280384283"
"291","29.246510168","127.0.0.1","127.0.0.1","TCP","66","60696  >  8080 [ACK] Seq=7 Ack=22 Win=65536 Len=0 TSval=2280385287 TSecr=2280385287"
"293","29.246582972","127.0.0.1","127.0.0.1","TCP","66","60696  >  8080 [ACK] Seq=7 Ack=221 Win=65408 Len=0 TSval=2280385287 TSecr=2280385287"
"294","30.255722501","127.0.0.1","127.0.0.1","TCP","70","60696  >  8080 [PSH, ACK] Seq=7 Ack=221 Win=65536 Len=4 TSval=2280386296 TSecr=2280385287 [TCP segment of a reassembled PDU]"
"296","30.255758976","127.0.0.1","127.0.0.1","TCP","83","60696  >  8080 [PSH, ACK] Seq=11 Ack=221 Win=65536 Len=17 TSval=2280386296 TSecr=2280386296"
"298","30.255791193","127.0.0.1","127.0.0.1","TCP","66","60696  >  8080 [FIN, ACK] Seq=28 Ack=221 Win=65536 Len=0 TSval=2280386296 TSecr=2280386296"
"300","30.255844451","127.0.0.1","127.0.0.1","TCP","66","60696  >  8080 [ACK] Seq=29 Ack=222 Win=65536 Len=0 TSval=2280386296 TSecr=2280386296"
"301","30.257470598","127.0.0.1","127.0.0.1","TCP","74","60698  >  8080 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM=1 TSval=2280386298 TSecr=0 WS=128"
"303","30.257484016","127.0.0.1","127.0.0.1","TCP","66","60698  >  8080 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2280386298 TSecr=2280386298"
"304","30.257529044","127.0.0.1","127.0.0.1","TCP","70","60698  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=4 TSval=2280386298 TSecr=2280386298"
"306","30.257539429","127.0.0.1","127.0.0.1","TCP","68","60698  >  8080 [PSH, ACK] Seq=5 Ack=1 Win=65536 Len=2 TSval=2280386298 TSecr=2280386298 [TCP segment of a reassembled PDU]"
"309","30.260308276","127.0.0.1","127.0.0.1","TCP","66","60698  >  8080 [ACK] Seq=7 Ack=14 Win=65536 Len=0 TSval=2280386301 TSecr=2280386301"
"311","31.263774319","127.0.0.1","127.0.0.1","TCP","66","60698  >  8080 [ACK] Seq=7 Ack=22 Win=65536 Len=0 TSval=2280387304 TSecr=2280387304"
"313","31.263788197","127.0.0.1","127.0.0.1","TCP","66","60698  >  8080 [ACK] Seq=7 Ack=221 Win=65408 Len=0 TSval=2280387304 TSecr=2280387304"
"314","32.271718371","127.0.0.1","127.0.0.1","TCP","70","60698  >  8080 [PSH, ACK] Seq=7 Ack=221 Win=65536 Len=4 TSval=2280388312 TSecr=2280387304 [TCP segment of a reassembled PDU]"
"316","32.271758389","127.0.0.1","127.0.0.1","TCP","83","60698  >  8080 [PSH, ACK] Seq=11 Ack=221 Win=65536 Len=17 TSval=2280388312 TSecr=2280388312"
"318","32.271791138","127.0.0.1","127.0.0.1","TCP","66","60698  >  8080 [FIN, ACK] Seq=28 Ack=221 Win=65536 Len=0 TSval=2280388312 TSecr=2280388312"
"320","32.271846555","127.0.0.1","127.0.0.1","TCP","66","60698  >  8080 [ACK] Seq=29 Ack=222 Win=65536 Len=0 TSval=2280388312 TSecr=2280388312"
"321","32.273565230","127.0.0.1","127.0.0.1","TCP","74","60700  >  8080 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM=1 TSval=2280388314 TSecr=0 WS=128"
"323","32.273579710","127.0.0.1","127.0.0.1","TCP","66","60700  >  8080 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2280388314 TSecr=2280388314"
"324","32.273615340","127.0.0.1","127.0.0.1","TCP","70","60700  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=4 TSval=2280388314 TSecr=2280388314"
"326","32.273624678","127.0.0.1","127.0.0.1","TCP","68","60700  >  8080 [PSH, ACK] Seq=5 Ack=1 Win=65536 Len=2 TSval=2280388314 TSecr=2280388314 [TCP segment of a reassembled PDU]"
"329","32.276459944","127.0.0.1","127.0.0.1","TCP","66","60700  >  8080 [ACK] Seq=7 Ack=14 Win=65536 Len=0 TSval=2280388317 TSecr=2280388317"
"331","33.280662370","127.0.0.1","127.0.0.1","TCP","66","60700  >  8080 [ACK] Seq=7 Ack=22 Win=65536 Len=0 TSval=2280389321 TSecr=2280389321"
"333","33.280720286","127.0.0.1","127.0.0.1","TCP","66","60700  >  8080 [ACK] Seq=7 Ack=221 Win=65408 Len=0 TSval=2280389321 TSecr=2280389321"
"334","34.287064908","127.0.0.1","127.0.0.1","TCP","70","60700  >  8080 [PSH, ACK] Seq=7 Ack=221 Win=65536 Len=4 TSval=2280390327 TSecr=2280389321 [TCP segment of a reassembled PDU]"
"336","34.287128611","127.0.0.1","127.0.0.1","TCP","83","60700  >  8080 [PSH, ACK] Seq=11 Ack=221 Win=65536 Len=17 TSval=2280390328 TSecr=2280390327"
"338","34.287164840","127.0.0.1","127.0.0.1","TCP","66","60700  >  8080 [FIN, ACK] Seq=28 Ack=221 Win=65536 Len=0 TSval=2280390328 TSecr=2280390328"
"340","34.287209557","127.0.0.1","127.0.0.1","TCP","66","60700  >  8080 [ACK] Seq=29 Ack=222 Win=65536 Len=0 TSval=2280390328 TSecr=2280390328"
"341","34.288879888","127.0.0.1","127.0.0.1","TCP","74","60702  >  8080 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM=1 TSval=2280390329 TSecr=0 WS=128"
"343","34.288893548","127.0.0.1","127.0.0.1","TCP","66","60702  >  8080 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2280390329 TSecr=2280390329"
"344","34.288928611","127.0.0.1","127.0.0.1","TCP","70","60702  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=4 TSval=2280390329 TSecr=2280390329"
"346","34.288938259","127.0.0.1","127.0.0.1","TCP","68","60702  >  8080 [PSH, ACK] Seq=5 Ack=1 Win=65536 Len=2 TSval=2280390329 TSecr=2280390329 [TCP segment of a reassembled PDU]"
"349","34.291958231","127.0.0.1","127.0.0.1","TCP","66","60702  >  8080 [ACK] Seq=7 Ack=14 Win=65536 Len=0 TSval=2280390332 TSecr=2280390332"
"351","35.296269587","127.0.0.1","127.0.0.1","TCP","66","60702  >  8080 [ACK] Seq=7 Ack=22 Win=65536 Len=0 TSval=2280391337 TSecr=2280391337"
"353","35.296320389","127.0.0.1","127.0.0.1","TCP","66","60702  >  8080 [ACK] Seq=7 Ack=221 Win=65408 Len=0 TSval=2280391337 TSecr=2280391337"
"354","36.306926837","127.0.0.1","127.0.0.1","TCP","70","60702  >  8080 [PSH, ACK] Seq=7 Ack=221 Win=65536 Len=4 TSval=2280392347 TSecr=2280391337 [TCP segment of a reassembled PDU]"
"356","36.306974343","127.0.0.1","127.0.0.1","TCP","83","60702  >  8080 [PSH, ACK] Seq=11 Ack=221 Win=65536 Len=17 TSval=2280392347 TSecr=2280392347"
"358","36.307005575","127.0.0.1","127.0.0.1","TCP","66","60702  >  8080 [FIN, ACK] Seq=28 Ack=221 Win=65536 Len=0 TSval=2280392347 TSecr=2280392347"
"360","36.307067311","127.0.0.1","127.0.0.1","TCP","66","60702  >  8080 [ACK] Seq=29 Ack=222 Win=65536 Len=0 TSval=2280392347 TSecr=2280392347"
"361","36.308624874","127.0.0.1","127.0.0.1","TCP","74","60704  >  8080 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM=1 TSval=2280392349 TSecr=0 WS=128"
"363","36.308637030","127.0.0.1","127.0.0.1","TCP","66","60704  >  8080 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2280392349 TSecr=2280392349"
"364","36.308667529","127.0.0.1","127.0.0.1","TCP","70","60704  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=4 TSval=2280392349 TSecr=2280392349"
"366","36.308676368","127.0.0.1","127.0.0.1","TCP","68","60704  >  8080 [PSH, ACK] Seq=5 Ack=1 Win=65536 Len=2 TSval=2280392349 TSecr=2280392349 [TCP segment of a reassembled PDU]"
"369","36.311131697","127.0.0.1","127.0.0.1","TCP","66","60704  >  8080 [ACK] Seq=7 Ack=14 Win=65536 Len=0 TSval=2280392352 TSecr=2280392352"
"371","37.312007566","127.0.0.1","127.0.0.1","TCP","66","60704  >  8080 [ACK] Seq=7 Ack=22 Win=65536 Len=0 TSval=2280393352 TSecr=2280393352"
"373","37.312060483","127.0.0.1","127.0.0.1","TCP","66","60704  >  8080 [ACK] Seq=7 Ack=221 Win=65408 Len=0 TSval=2280393352 TSecr=2280393352"
"374","38.320260036","127.0.0.1","127.0.0.1","TCP","70","60704  >  8080 [PSH, ACK] Seq=7 Ack=221 Win=65536 Len=4 TSval=2280394361 TSecr=2280393352 [TCP segment of a reassembled PDU]"
"376","38.320297083","127.0.0.1","127.0.0.1","TCP","83","60704  >  8080 [PSH, ACK] Seq=11 Ack=221 Win=65536 Len=17 TSval=2280394361 TSecr=2280394361"
"378","38.320316846","127.0.0.1","127.0.0.1","TCP","66","60704  >  8080 [FIN, ACK] Seq=28 Ack=221 Win=65536 Len=0 TSval=2280394361 TSecr=2280394361"
"380","38.320419757","127.0.0.1","127.0.0.1","TCP","66","60704  >  8080 [ACK] Seq=29 Ack=222 Win=65536 Len=0 TSval=2280394361 TSecr=2280394361"
"381","38.321917804","127.0.0.1","127.0.0.1","TCP","74","60706  >  8080 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM=1 TSval=2280394362 TSecr=0 WS=128"
"383","38.321930057","127.0.0.1","127.0.0.1","TCP","66","60706  >  8080 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2280394362 TSecr=2280394362"
"384","38.321960833","127.0.0.1","127.0.0.1","TCP","70","60706  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=4 TSval=2280394362 TSecr=2280394362"
"386","38.321970035","127.0.0.1","127.0.0.1","TCP","68","60706  >  8080 [PSH, ACK] Seq=5 Ack=1 Win=65536 Len=2 TSval=2280394362 TSecr=2280394362 [TCP segment of a reassembled PDU]"
"389","38.324525799","127.0.0.1","127.0.0.1","TCP","66","60706  >  8080 [ACK] Seq=7 Ack=14 Win=65536 Len=0 TSval=2280394365 TSecr=2280394365"
"391","39.325083379","127.0.0.1","127.0.0.1","TCP","66","60706  >  8080 [ACK] Seq=7 Ack=22 Win=65536 Len=0 TSval=2280395365 TSecr=2280395365"
"393","39.325176346","127.0.0.1","127.0.0.1","TCP","66","60706  >  8080 [ACK] Seq=7 Ack=221 Win=65408 Len=0 TSval=2280395366 TSecr=2280395366"
"394","40.332237504","127.0.0.1","127.0.0.1","TCP","70","60706  >  8080 [PSH, ACK] Seq=7 Ack=221 Win=65536 Len=4 TSval=2280396373 TSecr=2280395366 [TCP segment of a reassembled PDU]"
"396","40.332322614","127.0.0.1","127.0.0.1","TCP","83","60706  >  8080 [PSH, ACK] Seq=11 Ack=221 Win=65536 Len=17 TSval=2280396373 TSecr=2280396373"
"398","40.332428958","127.0.0.1","127.0.0.1","TCP","66","60706  >  8080 [FIN, ACK] Seq=28 Ack=221 Win=65536 Len=0 TSval=2280396373 TSecr=2280396373"
"400","40.332494242","127.0.0.1","127.0.0.1","TCP","66","60706  >  8080 [ACK] Seq=29 Ack=222 Win=65536 Len=0 TSval=2280396373 TSecr=2280396373"
"401","40.336287254","127.0.0.1","127.0.0.1","TCP","74","60708  >  8080 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM=1 TSval=2280396377 TSecr=0 WS=128"
"403","40.336316426","127.0.0.1","127.0.0.1","TCP","66","60708  >  8080 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2280396377 TSecr=2280396377"
"404","40.336399967","127.0.0.1","127.0.0.1","TCP","70","60708  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=4 TSval=2280396377 TSecr=2280396377"
"406","40.336423977","127.0.0.1","127.0.0.1","TCP","68","60708  >  8080 [PSH, ACK] Seq=5 Ack=1 Win=65536 Len=2 TSval=2280396377 TSecr=2280396377 [TCP segment of a reassembled PDU]"
"409","40.342774154","127.0.0.1","127.0.0.1","TCP","66","60708  >  8080 [ACK] Seq=7 Ack=14 Win=65536 Len=0 TSval=2280396383 TSecr=2280396383"
"411","41.346855749","127.0.0.1","127.0.0.1","TCP","66","60708  >  8080 [ACK] Seq=7 Ack=22 Win=65536 Len=0 TSval=2280397387 TSecr=2280397387"
"413","41.346907908","127.0.0.1","127.0.0.1","TCP","66","60708  >  8080 [ACK] Seq=7 Ack=221 Win=65408 Len=0 TSval=2280397387 TSecr=2280397387"
"414","42.355081059","127.0.0.1","127.0.0.1","TCP","70","60708  >  8080 [PSH, ACK] Seq=7 Ack=221 Win=65536 Len=4 TSval=2280398395 TSecr=2280397387 [TCP segment of a reassembled PDU]"
"416","42.355118629","127.0.0.1","127.0.0.1","TCP","83","60708  >  8080 [PSH, ACK] Seq=11 Ack=221 Win=65536 Len=17 TSval=2280398395 TSecr=2280398395"
"418","42.355179656","127.0.0.1","127.0.0.1","TCP","66","60708  >  8080 [FIN, ACK] Seq=28 Ack=221 Win=65536 Len=0 TSval=2280398396 TSecr=2280398395"
"420","42.355427222","127.0.0.1","127.0.0.1","TCP","66","60708  >  8080 [ACK] Seq=29 Ack=222 Win=65536 Len=0 TSval=2280398396 TSecr=2280398396"
"421","42.356953341","127.0.0.1","127.0.0.1","TCP","74","60710  >  8080 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM=1 TSval=2280398397 TSecr=0 WS=128"
"423","42.356965239","127.0.0.1","127.0.0.1","TCP","66","60710  >  8080 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2280398397 TSecr=2280398397"
"424","42.357020603","127.0.0.1","127.0.0.1","TCP","70","60710  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=4 TSval=2280398397 TSecr=2280398397"
"426","42.357029145","127.0.0.1","127.0.0.1","TCP","68","60710  >  8080 [PSH, ACK] Seq=5 Ack=1 Win=65536 Len=2 TSval=2280398397 TSecr=2280398397 [TCP segment of a reassembled PDU]"
"429","42.359344361","127.0.0.1","127.0.0.1","TCP","66","60710  >  8080 [ACK] Seq=7 Ack=14 Win=65536 Len=0 TSval=2280398400 TSecr=2280398400"
"431","43.362489884","127.0.0.1","127.0.0.1","TCP","66","60710  >  8080 [ACK] Seq=7 Ack=22 Win=65536 Len=0 TSval=2280399403 TSecr=2280399403"
"433","43.362539254","127.0.0.1","127.0.0.1","TCP","66","60710  >  8080 [ACK] Seq=7 Ack=221 Win=65408 Len=0 TSval=2280399403 TSecr=2280399403"
"434","44.372335153","127.0.0.1","127.0.0.1","TCP","70","60710  >  8080 [PSH, ACK] Seq=7 Ack=221 Win=65536 Len=4 TSval=2280400413 TSecr=2280399403 [TCP segment of a reassembled PDU]"
"436","44.372373103","127.0.0.1","127.0.0.1","TCP","83","60710  >  8080 [PSH, ACK] Seq=11 Ack=221 Win=65536 Len=17 TSval=2280400413 TSecr=2280400413"
"438","44.372394075","127.0.0.1","127.0.0.1","TCP","66","60710  >  8080 [FIN, ACK] Seq=28 Ack=221 Win=65536 Len=0 TSval=2280400413 TSecr=2280400413"
"440","44.372460182","127.0.0.1","127.0.0.1","TCP","66","60710  >  8080 [ACK] Seq=29 Ack=222 Win=65536 Len=0 TSval=2280400413 TSecr=2280400413"
"441","44.373892186","127.0.0.1","127.0.0.1","TCP","74","60712  >  8080 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM=1 TSval=2280400414 TSecr=0 WS=128"
"443","44.373904459","127.0.0.1","127.0.0.1","TCP","66","60712  >  8080 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2280400414 TSecr=2280400414"
"444","44.373936225","127.0.0.1","127.0.0.1","TCP","70","60712  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=4 TSval=2280400414 TSecr=2280400414"
"446","44.373945221","127.0.0.1","127.0.0.1","TCP","68","60712  >  8080 [PSH, ACK] Seq=5 Ack=1 Win=65536 Len=2 TSval=2280400414 TSecr=2280400414 [TCP segment of a reassembled PDU]"
"449","44.376475887","127.0.0.1","127.0.0.1","TCP","66","60712  >  8080 [ACK] Seq=7 Ack=14 Win=65536 Len=0 TSval=2280400417 TSecr=2280400417"
"451","45.380466162","127.0.0.1","127.0.0.1","TCP","66","60712  >  8080 [ACK] Seq=7 Ack=22 Win=65536 Len=0 TSval=2280401421 TSecr=2280401421"
"453","45.380484197","127.0.0.1","127.0.0.1","TCP","66","60712  >  8080 [ACK] Seq=7 Ack=221 Win=65408 Len=0 TSval=2280401421 TSecr=2280401421"
"454","46.388831391","127.0.0.1","127.0.0.1","TCP","70","60712  >  8080 [PSH, ACK] Seq=7 Ack=221 Win=65536 Len=4 TSval=2280402429 TSecr=2280401421 [TCP segment of a reassembled PDU]"
"456","46.388865429","127.0.0.1","127.0.0.1","TCP","83","60712  >  8080 [PSH, ACK] Seq=11 Ack=221 Win=65536 Len=17 TSval=2280402429 TSecr=2280402429"
"458","46.388885087","127.0.0.1","127.0.0.1","TCP","66","60712  >  8080 [FIN, ACK] Seq=28 Ack=221 Win=65536 Len=0 TSval=2280402429 TSecr=2280402429"
"460","46.388935657","127.0.0.1","127.0.0.1","TCP","66","60712  >  8080 [ACK] Seq=29 Ack=222 Win=65536 Len=0 TSval=2280402429 TSecr=2280402429"
"461","46.390418491","127.0.0.1","127.0.0.1","TCP","74","60714  >  8080 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM=1 TSval=2280402431 TSecr=0 WS=128"
"463","46.390429876","127.0.0.1","127.0.0.1","TCP","66","60714  >  8080 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2280402431 TSecr=2280402431"
"464","46.390461679","127.0.0.1","127.0.0.1","TCP","70","60714  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=4 TSval=2280402431 TSecr=2280402431"
"466","46.390470626","127.0.0.1","127.0.0.1","TCP","68","60714  >  8080 [PSH, ACK] Seq=5 Ack=1 Win=65536 Len=2 TSval=2280402431 TSecr=2280402431 [TCP segment of a reassembled PDU]"
"469","46.392972028","127.0.0.1","127.0.0.1","TCP","66","60714  >  8080 [ACK] Seq=7 Ack=14 Win=65536 Len=0 TSval=2280402433 TSecr=2280402433"
"471","47.397665135","127.0.0.1","127.0.0.1","TCP","66","60714  >  8080 [ACK] Seq=7 Ack=22 Win=65536 Len=0 TSval=2280403438 TSecr=2280403438"
"473","47.397716449","127.0.0.1","127.0.0.1","TCP","66","60714  >  8080 [ACK] Seq=7 Ack=221 Win=65408 Len=0 TSval=2280403438 TSecr=2280403438"
"474","48.406582173","127.0.0.1","127.0.0.1","TCP","70","60714  >  8080 [PSH, ACK] Seq=7 Ack=221 Win=65536 Len=4 TSval=2280404447 TSecr=2280403438 [TCP segment of a reassembled PDU]"
"476","48.406650607","127.0.0.1","127.0.0.1","TCP","83","60714  >  8080 [PSH, ACK] Seq=11 Ack=221 Win=65536 Len=17 TSval=2280404447 TSecr=2280404447"
"478","48.406670655","127.0.0.1","127.0.0.1","TCP","66","60714  >  8080 [FIN, ACK] Seq=28 Ack=221 Win=65536 Len=0 TSval=2280404447 TSecr=2280404447"
"480","48.406750401","127.0.0.1","127.0.0.1","TCP","66","60714  >  8080 [ACK] Seq=29 Ack=222 Win=65536 Len=0 TSval=2280404447 TSecr=2280404447"
"481","48.408255330","127.0.0.1","127.0.0.1","TCP","74","60716  >  8080 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM=1 TSval=2280404449 TSecr=0 WS=128"
"483","48.408267938","127.0.0.1","127.0.0.1","TCP","66","60716  >  8080 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2280404449 TSecr=2280404449"
"484","48.408299780","127.0.0.1","127.0.0.1","TCP","70","60716  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=4 TSval=2280404449 TSecr=2280404449"
"486","48.408309058","127.0.0.1","127.0.0.1","TCP","68","60716  >  8080 [PSH, ACK] Seq=5 Ack=1 Win=65536 Len=2 TSval=2280404449 TSecr=2280404449 [TCP segment of a reassembled PDU]"
"489","48.410961324","127.0.0.1","127.0.0.1","TCP","66","60716  >  8080 [ACK] Seq=7 Ack=14 Win=65536 Len=0 TSval=2280404451 TSecr=2280404451"
"491","49.411591036","127.0.0.1","127.0.0.1","TCP","66","60716  >  8080 [ACK] Seq=7 Ack=22 Win=65536 Len=0 TSval=2280405452 TSecr=2280405452"
"493","49.411660541","127.0.0.1","127.0.0.1","TCP","66","60716  >  8080 [ACK] Seq=7 Ack=221 Win=65408 Len=0 TSval=2280405452 TSecr=2280405452"
"494","50.417655660","127.0.0.1","127.0.0.1","TCP","70","60716  >  8080 [PSH, ACK] Seq=7 Ack=221 Win=65536 Len=4 TSval=2280406458 TSecr=2280405452 [TCP segment of a reassembled PDU]"
"496","50.417725413","127.0.0.1","127.0.0.1","TCP","83","60716  >  8080 [PSH, ACK] Seq=11 Ack=221 Win=65536 Len=17 TSval=2280406458 TSecr=2280406458"
"498","50.417777822","127.0.0.1","127.0.0.1","TCP","66","60716  >  8080 [FIN, ACK] Seq=28 Ack=221 Win=65536 Len=0 TSval=2280406458 TSecr=2280406458"
"500","50.417809949","127.0.0.1","127.0.0.1","TCP","66","60716  >  8080 [ACK] Seq=29 Ack=222 Win=65536 Len=0 TSval=2280406458 TSecr=2280406458"
"501","50.419591689","127.0.0.1","127.0.0.1","TCP","74","60718  >  8080 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM=1 TSval=2280406460 TSecr=0 WS=128"
"503","50.419606128","127.0.0.1","127.0.0.1","TCP","66","60718  >  8080 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2280406460 TSecr=2280406460"
"504","50.419646336","127.0.0.1","127.0.0.1","TCP","70","60718  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=4 TSval=2280406460 TSecr=2280406460"
"506","50.419657773","127.0.0.1","127.0.0.1","TCP","68","60718  >  8080 [PSH, ACK] Seq=5 Ack=1 Win=65536 Len=2 TSval=2280406460 TSecr=2280406460 [TCP segment of a reassembled PDU]"
"509","50.422743060","127.0.0.1","127.0.0.1","TCP","66","60718  >  8080 [ACK] Seq=7 Ack=14 Win=65536 Len=0 TSval=2280406463 TSecr=2280406463"
"511","51.424836901","127.0.0.1","127.0.0.1","TCP","66","60718  >  8080 [ACK] Seq=7 Ack=22 Win=65536 Len=0 TSval=2280407465 TSecr=2280407465"
"513","51.424852905","127.0.0.1","127.0.0.1","TCP","66","60718  >  8080 [ACK] Seq=7 Ack=221 Win=65408 Len=0 TSval=2280407465 TSecr=2280407465"
"514","52.431719154","127.0.0.1","127.0.0.1","TCP","70","60718  >  8080 [PSH, ACK] Seq=7 Ack=221 Win=65536 Len=4 TSval=2280408472 TSecr=2280407465 [TCP segment of a reassembled PDU]"
"516","52.431776583","127.0.0.1","127.0.0.1","TCP","83","60718  >  8080 [PSH, ACK] Seq=11 Ack=221 Win=65536 Len=17 TSval=2280408472 TSecr=2280408472"
"518","52.431853120","127.0.0.1","127.0.0.1","TCP","66","60718  >  8080 [FIN, ACK] Seq=28 Ack=221 Win=65536 Len=0 TSval=2280408472 TSecr=2280408472"
"520","52.431917961","127.0.0.1","127.0.0.1","TCP","66","60718  >  8080 [ACK] Seq=29 Ack=222 Win=65536 Len=0 TSval=2280408472 TSecr=2280408472"
"521","52.433500206","127.0.0.1","127.0.0.1","TCP","74","60720  >  8080 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM=1 TSval=2280408474 TSecr=0 WS=128"
"523","52.433510989","127.0.0.1","127.0.0.1","TCP","66","60720  >  8080 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2280408474 TSecr=2280408474"
"524","52.433557167","127.0.0.1","127.0.0.1","TCP","70","60720  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=4 TSval=2280408474 TSecr=2280408474"
"526","52.433566952","127.0.0.1","127.0.0.1","TCP","68","60720  >  8080 [PSH, ACK] Seq=5 Ack=1 Win=65536 Len=2 TSval=2280408474 TSecr=2280408474 [TCP segment of a reassembled PDU]"
"529","52.435856538","127.0.0.1","127.0.0.1","TCP","66","60720  >  8080 [ACK] Seq=7 Ack=14 Win=65536 Len=0 TSval=2280408476 TSecr=2280408476"
"531","53.438723311","127.0.0.1","127.0.0.1","TCP","66","60720  >  8080 [ACK] Seq=7 Ack=22 Win=65536 Len=0 TSval=2280409479 TSecr=2280409479"
"533","53.438751277","127.0.0.1","127.0.0.1","TCP","66","60720  >  8080 [ACK] Seq=7 Ack=221 Win=65408 Len=0 TSval=2280409479 TSecr=2280409479"
"534","54.447034474","127.0.0.1","127.0.0.1","TCP","70","60720  >  8080 [PSH, ACK] Seq=7 Ack=221 Win=65536 Len=4 TSval=2280410487 TSecr=2280409479 [TCP segment of a reassembled PDU]"
"536","54.447105119","127.0.0.1","127.0.0.1","TCP","83","60720  >  8080 [PSH, ACK] Seq=11 Ack=221 Win=65536 Len=17 TSval=2280410487 TSecr=2280410487"
"538","54.447170860","127.0.0.1","127.0.0.1","TCP","66","60720  >  8080 [FIN, ACK] Seq=28 Ack=221 Win=65536 Len=0 TSval=2280410488 TSecr=2280410487"
"540","54.447229601","127.0.0.1","127.0.0.1","TCP","66","60720  >  8080 [ACK] Seq=29 Ack=222 Win=65536 Len=0 TSval=2280410488 TSecr=2280410488"
"541","54.448954334","127.0.0.1","127.0.0.1","TCP","74","60722  >  8080 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM=1 TSval=2280410489 TSecr=0 WS=128"
"543","54.448966156","127.0.0.1","127.0.0.1","TCP","66","60722  >  8080 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2280410489 TSecr=2280410489"
"544","54.448995690","127.0.0.1","127.0.0.1","TCP","70","60722  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=4 TSval=2280410489 TSecr=2280410489"
